title, author, publisher, date_published, ratings, pages, isbn, language, genres
Day of the Accident: The compelling and emotional thriller with a twist you won't believe,Nuala Ellwood,Penguin UK,Jan 25| 2019,4.4,400,9780241977354,English,Fiction / Family Life / General
Carmilla (Vampira lesbiana) - Parte 1,Joseph Sheridan Le Fanu,Postin,Mar 8| 2020,4.4,35,Flowing text, Google-generated PDF,Fiction / Fantasy / Dark Fantasy,Fiction / Gothic
Frankenstein: o el moderno Prometeo,Mary Shelley,Paradimage Soluciones SL,Apr 16| 2016,4.7,248,9788416564316,Spanish,Fiction / Classics
The Summer That Melted Everything,Tiffany McDaniel,Scribe Publications,Aug 1| 2016,4.4,320,9781925307344,English,Fiction / Coming of Age
The Wasp Factory: The stunning and controversial literary debut novel,Iain Banks,Hachette UK,Sep 4| 2008,4.2,256,9780748109951,English,Fiction / Family Life / Siblings
For All Time,V. M. Black,Swift River Media Group,Sep 15| 2014,4.6,78,Flowing text, Google-generated PDF,Body, Mind & Spirit / Unexplained Phenomena,Fiction / Fantasy / Paranormal
The Drunken Ghost: A strange tale,Neel Rana,Neel Rana,Mar 3| 2017,4.4,35,Flowing text, Original pages,Family & Relationships / Love & Romance,Fiction / Gothic
Las sombras del Portal: Tribal,JosÈ Manuel GarcÌa LÛpez,Las Sagas del Hombre,Jul 9| 2016,4.4,28,Flowing text, Google-generated PDF,Biography & Autobiography / Adventurers & Explorers,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
While Beauty Slept,Elizabeth Blackwell,Penguin,Feb 20| 2014,4.4,464,9781101635193,English,Fiction / Fairy Tales| Folk Tales| Legends & Mythology
Passage of Shadows,Chasity Bowlin,Chasity Bowlin,Feb 2| 2020,4.8,116,Flowing text, Google-generated PDF,Fiction / Gothic,Fiction / Romance / Historical / General
PoesÌas muertas,Arturo Accio,Viento Azul,Mar 9| 2015,4.3,104,Flowing text, Original pages,Fiction / Fantasy / Dark Fantasy,Fiction / Gothic
A Spirited Manor,Kate Danley,Kate Danley,Jun 9| 2013,4.4,172,Flowing text, Google-generated PDF,Fiction / Fantasy / Gaslamp,Fiction / Fantasy / General
Too Wicked to Kiss,Erica Ridley,WebMotion,Oct 30| 2019,4.4,400,9781943794485,English,Fiction / Gothic
